Date,OPEN,HIGH,LOW,CLOSE
1990-01-02,17.24,17.24,17.24,17.24
1990-01-03,18.19,18.19,18.19,18.19
1990-01-04,19.22,19.22,19.22,19.22
1990-01-05,20.11,20.11,20.11,20.11
1990-01-06,20.16,20.16,20.16,20.16
1990-01-07,20.21,20.21,20.21,20.21
1990-01-08,20.26,20.26,20.26,20.26
1990-01-09,22.2,22.2,22.2,22.2
1990-01-10,22.44,22.44,22.44,22.44
1990-01-11,20.05,20.05,20.05,20.05
1990-01-12,24.64,24.64,24.64,24.64
1990-01-13,25.206666666666667,25.206666666666667,25.206666666666667,25.206666666666667
1990-01-14,25.773333333333333,25.773333333333333,25.773333333333333,25.773333333333333
1990-01-15,26.34,26.34,26.34,26.34
1990-01-16,24.18,24.18,24.18,24.18
1990-01-17,24.16,24.16,24.16,24.16
1990-01-18,24.34,24.34,24.34,24.34
1990-01-19,22.5,22.5,22.5,22.5
1990-01-20,23.9,23.9,23.9,23.9
1990-01-21,25.3,25.3,25.3,25.3
1990-01-22,26.7,26.7,26.7,26.7
1990-01-23,24.72,24.72,24.72,24.72
1990-01-24,25.39,25.39,25.39,25.39
1990-01-25,25.63,25.63,25.63,25.63
1990-01-26,26.28,26.28,26.28,26.28
1990-01-27,26.333333333333336,26.333333333333336,26.333333333333336,26.333333333333336
1990-01-28,26.386666666666667,26.386666666666667,26.386666666666667,26.386666666666667
1990-01-29,26.44,26.44,26.44,26.44
1990-01-30,27.25,27.25,27.25,27.25
1990-01-31,25.36,25.36,25.36,25.36
1990-02-01,24.87,24.87,24.87,24.87
1990-02-02,24.32,24.32,24.32,24.32
1990-02-03,24.393333333333334,24.393333333333334,24.393333333333334,24.393333333333334
1990-02-04,24.466666666666665,24.466666666666665,24.466666666666665,24.466666666666665
1990-02-05,24.54,24.54,24.54,24.54
1990-02-06,24.69,24.69,24.69,24.69
1990-02-07,24.29,24.29,24.29,24.29
1990-02-08,23.77,23.77,23.77,23.77
1990-02-09,23.69,23.69,23.69,23.69
1990-02-10,23.92,23.92,23.92,23.92
1990-02-11,24.15,24.15,24.15,24.15
1990-02-12,24.38,24.38,24.38,24.38
1990-02-13,23.76,23.76,23.76,23.76
1990-02-14,22.05,22.05,22.05,22.05
1990-02-15,19.71,19.71,19.71,19.71
1990-02-16,20.78,20.78,20.78,20.78
1990-02-17,21.28,21.28,21.28,21.28
1990-02-18,21.78,21.78,21.78,21.78
1990-02-19,22.28,22.28,22.28,22.28
1990-02-20,22.78,22.78,22.78,22.78
1990-02-21,23.89,23.89,23.89,23.89
1990-02-22,22.54,22.54,22.54,22.54
1990-02-23,23.69,23.69,23.69,23.69
1990-02-24,23.64666666666667,23.64666666666667,23.64666666666667,23.64666666666667
1990-02-25,23.60333333333333,23.60333333333333,23.60333333333333,23.60333333333333
1990-02-26,23.56,23.56,23.56,23.56
1990-02-27,22.69,22.69,22.69,22.69
1990-02-28,21.99,21.99,21.99,21.99
1990-03-01,21.9,21.9,21.9,21.9
1990-03-02,21.34,21.34,21.34,21.34
1990-03-03,21.57,21.57,21.57,21.57
1990-03-04,21.8,21.8,21.8,21.8
1990-03-05,22.03,22.03,22.03,22.03
1990-03-06,20.55,20.55,20.55,20.55
1990-03-07,19.1,19.1,19.1,19.1
1990-03-08,19.74,19.74,19.74,19.74
1990-03-09,20.3,20.3,20.3,20.3
1990-03-10,20.223333333333333,20.223333333333333,20.223333333333333,20.223333333333333
1990-03-11,20.14666666666667,20.14666666666667,20.14666666666667,20.14666666666667
1990-03-12,20.07,20.07,20.07,20.07
1990-03-13,21.05,21.05,21.05,21.05
1990-03-14,19.65,19.65,19.65,19.65
1990-03-15,18.81,18.81,18.81,18.81
1990-03-16,17.62,17.62,17.62,17.62
1990-03-17,17.843333333333334,17.843333333333334,17.843333333333334,17.843333333333334
1990-03-18,18.066666666666666,18.066666666666666,18.066666666666666,18.066666666666666
1990-03-19,18.29,18.29,18.29,18.29
1990-03-20,19.06,19.06,19.06,19.06
1990-03-21,20.1,20.1,20.1,20.1
1990-03-22,22.74,22.74,22.74,22.74
1990-03-23,20.46,20.46,20.46,20.46
1990-03-24,20.17,20.17,20.17,20.17
1990-03-25,19.88,19.88,19.88,19.88
1990-03-26,19.59,19.59,19.59,19.59
1990-03-27,21.01,21.01,21.01,21.01
1990-03-28,19.77,19.77,19.77,19.77
1990-03-29,18.46,18.46,18.46,18.46
1990-03-30,19.73,19.73,19.73,19.73
1990-03-31,20.766666666666666,20.766666666666666,20.766666666666666,20.766666666666666
1990-04-01,21.803333333333335,21.803333333333335,21.803333333333335,21.803333333333335
1990-04-02,22.84,22.84,22.84,22.84
1990-04-03,20.44,20.44,20.44,20.44
1990-04-04,22.03,22.03,22.03,22.03
1990-04-05,21.21,21.21,21.21,21.21
1990-04-06,21.76,21.76,21.76,21.76
1990-04-07,21.94,21.94,21.94,21.94
1990-04-08,22.12,22.12,22.12,22.12
1990-04-09,22.3,22.3,22.3,22.3
1990-04-10,21.69,21.69,21.69,21.69
1990-04-11,17.73,17.73,17.73,17.73
1990-04-12,19.8,19.8,19.8,19.8
1990-04-13,20.0375,20.0375,20.0375,20.0375
1990-04-14,20.275,20.275,20.275,20.275
1990-04-15,20.5125,20.5125,20.5125,20.5125
1990-04-16,20.75,20.75,20.75,20.75
1990-04-17,20.38,20.38,20.38,20.38
1990-04-18,22.67,22.67,22.67,22.67
1990-04-19,22.46,22.46,22.46,22.46
1990-04-20,23.33,23.33,23.33,23.33
1990-04-21,23.606666666666666,23.606666666666666,23.606666666666666,23.606666666666666
1990-04-22,23.883333333333333,23.883333333333333,23.883333333333333,23.883333333333333
1990-04-23,24.16,24.16,24.16,24.16
1990-04-24,21.7,21.7,21.7,21.7
1990-04-25,20.86,20.86,20.86,20.86
1990-04-26,20.25,20.25,20.25,20.25
1990-04-27,22.19,22.19,22.19,22.19
1990-04-28,21.3,21.3,21.3,21.3
1990-04-29,20.41,20.41,20.41,20.41
1990-04-30,19.52,19.52,19.52,19.52
1990-05-01,18.43,18.43,18.43,18.43
1990-05-02,19.32,19.32,19.32,19.32
1990-05-03,17.81,17.81,17.81,17.81
1990-05-04,17.28,17.28,17.28,17.28
1990-05-05,17.403333333333332,17.403333333333332,17.403333333333332,17.403333333333332
1990-05-06,17.526666666666667,17.526666666666667,17.526666666666667,17.526666666666667
1990-05-07,17.65,17.65,17.65,17.65
1990-05-08,18.49,18.49,18.49,18.49
1990-05-09,18.64,18.64,18.64,18.64
1990-05-10,18.59,18.59,18.59,18.59
1990-05-11,19.81,19.81,19.81,19.81
1990-05-12,19.919999999999998,19.919999999999998,19.919999999999998,19.919999999999998
1990-05-13,20.03,20.03,20.03,20.03
1990-05-14,20.14,20.14,20.14,20.14
1990-05-15,19.49,19.49,19.49,19.49
1990-05-16,17.71,17.71,17.71,17.71
1990-05-17,17.27,17.27,17.27,17.27
1990-05-18,17.2,17.2,17.2,17.2
1990-05-19,17.04,17.04,17.04,17.04
1990-05-20,16.88,16.88,16.88,16.88
1990-05-21,16.72,16.72,16.72,16.72
1990-05-22,17.84,17.84,17.84,17.84
1990-05-23,17.18,17.18,17.18,17.18
1990-05-24,17.7,17.7,17.7,17.7
1990-05-25,17.32,17.32,17.32,17.32
1990-05-26,17.677500000000002,17.677500000000002,17.677500000000002,17.677500000000002
1990-05-27,18.035,18.035,18.035,18.035
1990-05-28,18.3925,18.3925,18.3925,18.3925
1990-05-29,18.75,18.75,18.75,18.75
1990-05-30,17.44,17.44,17.44,17.44
1990-05-31,17.37,17.37,17.37,17.37
1990-06-01,17.09,17.09,17.09,17.09
1990-06-02,17.523333333333333,17.523333333333333,17.523333333333333,17.523333333333333
1990-06-03,17.956666666666667,17.956666666666667,17.956666666666667,17.956666666666667
1990-06-04,18.39,18.39,18.39,18.39
1990-06-05,18.97,18.97,18.97,18.97
1990-06-06,17.42,17.42,17.42,17.42
1990-06-07,16.88,16.88,16.88,16.88
1990-06-08,17.58,17.58,17.58,17.58
1990-06-09,17.166666666666664,17.166666666666664,17.166666666666664,17.166666666666664
1990-06-10,16.753333333333334,16.753333333333334,16.753333333333334,16.753333333333334
1990-06-11,16.34,16.34,16.34,16.34
1990-06-12,16.6,16.6,16.6,16.6
1990-06-13,17.38,17.38,17.38,17.38
1990-06-14,17.4,17.4,17.4,17.4
1990-06-15,15.9,15.9,15.9,15.9
1990-06-16,16.503333333333334,16.503333333333334,16.503333333333334,16.503333333333334
1990-06-17,17.10666666666667,17.10666666666667,17.10666666666667,17.10666666666667
1990-06-18,17.71,17.71,17.71,17.71
1990-06-19,15.23,15.23,15.23,15.23
1990-06-20,15.27,15.27,15.27,15.27
1990-06-21,14.72,14.72,14.72,14.72
1990-06-22,19.36,19.36,19.36,19.36
1990-06-23,18.593333333333334,18.593333333333334,18.593333333333334,18.593333333333334
1990-06-24,17.826666666666664,17.826666666666664,17.826666666666664,17.826666666666664
1990-06-25,17.06,17.06,17.06,17.06
1990-06-26,16.29,16.29,16.29,16.29
1990-06-27,16.0,16.0,16.0,16.0
1990-06-28,16.18,16.18,16.18,16.18
1990-06-29,15.5,15.5,15.5,15.5
1990-06-30,15.753333333333334,15.753333333333334,15.753333333333334,15.753333333333334
1990-07-01,16.006666666666668,16.006666666666668,16.006666666666668,16.006666666666668
1990-07-02,16.26,16.26,16.26,16.26
1990-07-03,16.11,16.11,16.11,16.11
1990-07-04,16.68,16.68,16.68,16.68
1990-07-05,17.25,17.25,17.25,17.25
1990-07-06,16.41,16.41,16.41,16.41
1990-07-07,16.493333333333332,16.493333333333332,16.493333333333332,16.493333333333332
1990-07-08,16.576666666666668,16.576666666666668,16.576666666666668,16.576666666666668
1990-07-09,16.66,16.66,16.66,16.66
1990-07-10,16.92,16.92,16.92,16.92
1990-07-11,16.68,16.68,16.68,16.68
1990-07-12,17.06,17.06,17.06,17.06
1990-07-13,17.09,17.09,17.09,17.09
1990-07-14,16.976666666666667,16.976666666666667,16.976666666666667,16.976666666666667
1990-07-15,16.863333333333333,16.863333333333333,16.863333333333333,16.863333333333333
1990-07-16,16.75,16.75,16.75,16.75
1990-07-17,16.66,16.66,16.66,16.66
1990-07-18,18.9,18.9,18.9,18.9
1990-07-19,18.56,18.56,18.56,18.56
1990-07-20,15.63,15.63,15.63,15.63
1990-07-21,18.313333333333333,18.313333333333333,18.313333333333333,18.313333333333333
1990-07-22,20.996666666666666,20.996666666666666,20.996666666666666,20.996666666666666
1990-07-23,23.68,23.68,23.68,23.68
1990-07-24,21.79,21.79,21.79,21.79
1990-07-25,20.19,20.19,20.19,20.19
1990-07-26,20.26,20.26,20.26,20.26
1990-07-27,21.12,21.12,21.12,21.12
1990-07-28,21.133333333333333,21.133333333333333,21.133333333333333,21.133333333333333
1990-07-29,21.14666666666667,21.14666666666667,21.14666666666667,21.14666666666667
1990-07-30,21.16,21.16,21.16,21.16
1990-07-31,21.11,21.11,21.11,21.11
1990-08-01,21.64,21.64,21.64,21.64
1990-08-02,20.43,20.43,20.43,20.43
1990-08-03,28.74,28.74,28.74,28.74
1990-08-04,31.13,31.13,31.13,31.13
1990-08-05,33.519999999999996,33.519999999999996,33.519999999999996,33.519999999999996
1990-08-06,35.91,35.91,35.91,35.91
1990-08-07,32.75,32.75,32.75,32.75
1990-08-08,28.27,28.27,28.27,28.27
1990-08-09,24.39,24.39,24.39,24.39
1990-08-10,25.75,25.75,25.75,25.75
1990-08-11,25.746666666666666,25.746666666666666,25.746666666666666,25.746666666666666
1990-08-12,25.743333333333332,25.743333333333332,25.743333333333332,25.743333333333332
1990-08-13,25.74,25.74,25.74,25.74
1990-08-14,24.18,24.18,24.18,24.18
1990-08-15,23.31,23.31,23.31,23.31
1990-08-16,27.16,27.16,27.16,27.16
1990-08-17,27.53,27.53,27.53,27.53
1990-08-18,27.173333333333336,27.173333333333336,27.173333333333336,27.173333333333336
1990-08-19,26.816666666666666,26.816666666666666,26.816666666666666,26.816666666666666
1990-08-20,26.46,26.46,26.46,26.46
1990-08-21,28.9,28.9,28.9,28.9
1990-08-22,30.55,30.55,30.55,30.55
1990-08-23,36.47,36.47,36.47,36.47
1990-08-24,33.93,33.93,33.93,33.93
1990-08-25,32.49666666666667,32.49666666666667,32.49666666666667,32.49666666666667
1990-08-26,31.063333333333333,31.063333333333333,31.063333333333333,31.063333333333333
1990-08-27,29.63,29.63,29.63,29.63
1990-08-28,29.12,29.12,29.12,29.12
1990-08-29,27.38,27.38,27.38,27.38
1990-08-30,29.89,29.89,29.89,29.89
1990-08-31,29.9,29.9,29.9,29.9
1990-09-01,29.82,29.82,29.82,29.82
1990-09-02,29.74,29.74,29.74,29.74
1990-09-03,29.659999999999997,29.659999999999997,29.659999999999997,29.659999999999997
1990-09-04,29.58,29.58,29.58,29.58
1990-09-05,28.52,28.52,28.52,28.52
1990-09-06,30.19,30.19,30.19,30.19
1990-09-07,28.73,28.73,28.73,28.73
1990-09-08,28.933333333333334,28.933333333333334,28.933333333333334,28.933333333333334
1990-09-09,29.136666666666667,29.136666666666667,29.136666666666667,29.136666666666667
1990-09-10,29.34,29.34,29.34,29.34
1990-09-11,28.38,28.38,28.38,28.38
1990-09-12,28.12,28.12,28.12,28.12
1990-09-13,29.33,29.33,29.33,29.33
1990-09-14,30.56,30.56,30.56,30.56
1990-09-15,30.223333333333333,30.223333333333333,30.223333333333333,30.223333333333333
1990-09-16,29.886666666666667,29.886666666666667,29.886666666666667,29.886666666666667
1990-09-17,29.55,29.55,29.55,29.55
1990-09-18,28.82,28.82,28.82,28.82
1990-09-19,27.88,27.88,27.88,27.88
1990-09-20,28.66,28.66,28.66,28.66
1990-09-21,30.04,30.04,30.04,30.04
1990-09-22,30.21333333333333,30.21333333333333,30.21333333333333,30.21333333333333
1990-09-23,30.386666666666667,30.386666666666667,30.386666666666667,30.386666666666667
1990-09-24,30.56,30.56,30.56,30.56
